venue_id,venue_name,city,country,latitude,longitude
0,Enercare Arena,Toronto,Canada,43.63499,-79.41286
1,Riot Games Arena,Berlin,Germany,52.43078,13.54025
2,Sangam SOOP Colosseum,Seoul,South Korea,37.57614,126.88912
3,VCT CN Arena,Shanghai,China,31.19669,121.47703
4,JDG Esports Center,Beijing,China,39.81765,116.55881
5,Riot Games Arena,Los Angeles,USA,34.03123,-118.45724
6,UOB Live,Bangkok,Thailand,13.73229,100.56619
