tournament_id,venue_id,stage_type
0,0,all stages
1,1,all stages
2,2,all stages
3,3,playoffs
3,4,top 4
4,5,all stages
5,6,all stages
6,1,all stages
7,2,all stages
8,3,all stages
9,4,all stages
